BGLValue,FGLValue,NuetralValue,Region,Distance,BGFG,bgN
0,0,0,6,49.47468793,0,0
0,1,1,2,50.28851061,1,1
0,1,1,2,5.411458313,1,1
1,1,1,6,38.42428843,3,3
0,0,1,4,5.290439025,0,1
0,1,1,6,13.73004753,1,1
0,0,1,6,33.98700031,0,1
0,1,1,2,52.95491723,1,1
0,0,1,6,49.4717722,0,1
0,0,0,4,11.25151474,0,0
0,0,0,4,40.84126344,0,0
0,0,0,5,46.17407077,0,0
0,1,1,3,54.17467151,1,1
0,0,1,6,34.39191586,0,1
0,1,1,3,14.04048325,1,1
0,0,1,1,70.1475248,0,1
0,1,1,3,38.94114089,1,1
0,0,1,5,20.710268,0,1
0,0,0,4,40.84126344,0,0
0,1,1,5,2.826194937,1,1
0,0,1,1,93.61534158,0,1
0,1,0,3,5.083086716,1,0
0,1,1,5,3.536682839,1,1
0,0,1,4,16.09928213,0,1
0,1,1,2,56.97166344,1,1
0,1,1,6,3.802753339,1,1
0,1,0,1,6.241676429,1,0
0,1,1,2,71.41448922,1,1
0,0,1,4,51.80982938,0,1
0,1,1,6,28.47706256,1,1
0,0,0,6,26.1191917,0,0
0,1,1,6,5.009116505,1,1
0,0,1,2,85.20699588,0,1
0,0,1,6,81.2474144,0,1
0,0,0,4,11.25151474,0,0
0,1,1,6,7.811871988,1,1
0,1,1,6,7.118073076,1,1
0,1,1,3,4.91039924,1,1
0,1,1,1,23.89149182,1,1
0,0,1,2,98.51413478,0,1
0,1,1,4,1.872730887,1,1
0,1,1,3,52.48802847,1,1
0,1,1,6,57.37701719,1,1
0,1,1,3,4.256157988,1,1
0,1,1,3,7.975557789,1,1
0,0,1,6,22.20612776,0,1
0,1,0,3,8.030794481,1,0
0,1,0,3,3.905238365,1,0
0,1,1,5,2.667616456,1,1
0,1,1,2,4.277549438,1,1
0,0,1,6,46.62416023,0,1
0,1,1,6,64.84878347,1,1
0,1,1,6,11.49740106,1,1
0,0,1,6,43.2940137,0,1
0,0,1,3,83.37157347,0,1
0,0,1,6,78.82525691,0,1
0,0,1,4,7.133330418,0,1
0,1,1,2,76.64182283,1,1
0,0,1,1,80.72840775,0,1
0,1,1,5,4.578491432,1,1
0,1,1,1,99.37539243,1,1
0,0,0,5,41.1322917,0,0
0,1,1,2,59.70061437,1,1
0,1,1,3,7.143742664,1,1
0,1,1,1,3.431160575,1,1
0,0,1,5,12.15266704,0,1
0,1,1,3,8.428376254,1,1
0,0,0,6,47.83417575,0,0
0,0,1,5,59.60001949,0,1
0,0,1,5,45.24531612,0,1
0,1,1,4,4.851080276,1,1
0,1,1,3,4.026647409,1,1
0,1,1,2,40.92086274,1,1
0,1,1,6,14.36373131,1,1
0,0,0,6,45.68772146,0,0
0,1,1,2,51.99930224,1,1
0,1,1,1,57.57031479,1,1
0,1,1,1,36.40198928,1,1
0,0,1,4,45.71737423,0,1
0,1,1,1,72.07446832,1,1
0,0,1,3,64.0543068,0,1
0,1,1,3,4.389453482,1,1
0,1,1,1,83.39452837,1,1
0,0,0,5,29.02706646,0,0
0,1,1,4,7.236186418,1,1
0,0,1,1,71.79059893,0,1
0,1,1,4,0.796484488,1,1
0,1,1,1,88.54640874,1,1
0,1,1,5,6.98698609,1,1
0,0,1,6,40.54806078,0,1
0,1,1,5,2.667616456,1,1
0,1,1,2,64.2636368,1,1
0,1,1,1,63.68139135,1,1
0,0,1,6,27.18740521,0,1
0,0,0,1,57.70767028,0,0
0,0,1,2,98.51413478,0,1
0,1,0,4,8.186735659,1,0
0,1,1,5,2.338072753,1,1
0,0,0,3,56.29808484,0,0
0,1,0,2,4.151538198,1,0
0,0,0,1,60.6129803,0,0
0,1,1,2,27.20223166,1,1
0,1,1,2,39.05434186,1,1
0,1,0,4,2.749482261,1,0
0,0,1,6,43.2940137,0,1
0,1,1,1,52.58693425,1,1
0,0,0,4,34.41377417,0,0
0,1,1,2,9.427159845,1,1
0,0,1,4,11.88876754,0,1
0,1,1,1,98.1930557,1,1
0,1,1,6,42.78905121,1,1
0,1,1,3,3.533682851,1,1
0,1,0,4,4.114975646,1,0
0,1,1,6,6.424875387,1,1
0,0,1,5,25.91268069,0,1
0,1,1,2,65.99538308,1,1
0,1,1,2,25.19802041,1,1
0,0,0,4,34.41377417,0,0
0,1,1,6,3.988442836,1,1
0,1,1,2,53.36256034,1,1
0,0,0,3,45.05645578,0,0
0,0,1,5,40.06891163,0,1
0,0,1,1,63.0936121,0,1
0,0,0,5,25.02840483,0,0
0,0,1,6,30.11088922,0,1
0,1,1,1,3.431160575,1,1
