UP,VP,Red,Green,Blue
0.140388769,0.499730022,61.39444495,42.19763685,60.21515286
0.12389517,0.553409739,29.92134527,7.752594178,38.23242338
0.159433962,0.393537736,45.58999081,54.94116932,28.38051307
0.135792363,0.466364906,28.65736858,11.44694926,22.43347681
0.137943719,0.52004782,51.48214705,28.17569653,49.71414653
0.168388948,0.27070249,29.77652484,54.09995702,15.03689058
0.18313253,0.444106862,53.33450511,50.44399674,48.75776688
0.164568621,0.28178707,24.78482394,38.90601407,11.78961465
0.181220314,0.402813299,55.93112252,62.42219993,48.63943002
0.125419741,0.548561239,32.26974218,10.32914455,36.60546645
0.169580471,0.20006486,26.87593582,62.82130369,12.90242277
0.17632304,0.194662609,37.89863627,78.24251918,17.30006886
0.167461754,0.392334266,53.7150828,57.85685562,39.53604988
0.148509764,0.518756423,53.29444032,35.40838993,52.08603576
0.177251732,0.423498845,59.22001974,63.40704172,47.76349284
0.145342822,0.529046619,50.24564644,29.16161632,51.35335972
0.135215453,0.460455221,23.00173147,10.62487927,14.77454189
0.194233687,0.225016258,44.61914547,85.95598916,23.40967283
0.16645724,0.485623475,54.72989229,47.50570307,50.44468208
0.178078108,0.256682898,41.72086365,72.02439336,20.69965208
0.127345662,0.543010997,37.59219847,12.25123363,41.27258212
0.178951853,0.424371538,54.7277857,63.93390576,44.81014052
0.140052176,0.529726761,56.07783105,31.56090708,58.37243762
0.187365177,0.327272727,56.25664355,77.28334396,33.94850038
0.14635017,0.471711583,48.16805691,36.68840922,39.13627639
0.19941349,0.392789374,55.86631631,70.17331513,40.6160935
0.148948266,0.496304719,52.44971542,37.44050217,46.58692944
0.181457829,0.447918961,56.326015,58.7767621,46.37382061
0.137354216,0.461515038,36.34495444,21.52748275,26.11997061
0.173913043,0.307152875,50.43990563,71.67145161,29.04258974
0.136174636,0.53589527,53.75434121,26.97914644,54.74296063
0.152814595,0.432246998,64.36691258,57.01327494,50.72525586
0.140857022,0.477301655,54.997228,37.06077952,45.71459271
0.17539803,0.149559137,24.66977886,72.28418602,12.44984912
0.16636106,0.381063511,52.82170722,57.86622764,39.74297257
0.130929657,0.518981972,50.74263201,28.390064,46.25295433
0.184682238,0.221618685,49.86455639,86.09575393,22.42498508
0.130359439,0.529934597,45.7939429,22.77894179,44.51154135
0.210807205,0.442294863,52.91407878,64.00491701,53.16714044
0.143340434,0.504072171,48.59643468,30.63649106,47.00414976
0.127650963,0.523134362,27.68348774,7.759829435,26.97608886
0.17709126,0.14811744,29.59888167,72.36423002,20.4139665
0.141551058,0.512531271,55.27724836,34.12326286,53.56770074
0.123600254,0.558237527,25.52014038,7.663811871,35.63277641
0.181059948,0.419113814,50.4310836,66.415435,34.85117198
0.15781369,0.35376785,31.60856264,41.05483775,18.23070092
0.201767754,0.407345322,50.80527731,64.41823557,42.85289999
0.153867871,0.436088368,48.85134319,40.45785498,38.68259956
0.14563454,0.410530608,26.59413403,21.13963334,19.16407938
0.176581963,0.193124066,35.23449123,76.28363453,15.57857299
0.193776521,0.476308345,51.13593733,53.50796015,49.59362094
0.155168998,0.453619685,47.75796558,43.77376626,36.80070325
0.123511441,0.557204314,29.18706572,8.335259969,39.78123964
0.168351159,0.260784602,30.82210135,61.03252704,13.8300637
0.166793149,0.373992411,22.30269557,24.13691284,11.11182327
0.177714691,0.316181689,43.6228743,65.79739502,30.8685559
0.167923909,0.245367334,25.75033419,49.95677663,12.52688285
0.125169223,0.555072239,36.97191351,9.908542304,45.41628951
0.176999147,0.20556197,32.70807744,73.10776424,13.14296654
0.138216561,0.525095541,51.9247195,29.11219013,52.11468042
0.182381585,0.428950863,56.09620577,62.02192566,49.67892713
0.165827338,0.486420863,57.87140656,46.53300839,55.18340995
0.183442729,0.20069621,23.18203469,58.1945328,12.52657297
0.145881494,0.473597761,47.82651247,33.54895364,42.52540553
0.183393823,0.36863936,47.71347737,63.59325199,34.67208444
0.172402905,0.209630565,21.39417843,53.03956304,8.330523772
0.152362137,0.348706017,24.26716587,26.31256182,11.00087176
0.221841408,0.402399128,47.06126719,66.64030315,42.40385667
0.140253216,0.462051526,42.15864193,28.74762998,30.17853959
0.166785663,0.296444381,44.63528249,63.58196205,22.31073729
0.152967409,0.369834143,28.2585867,30.03306945,17.19223669
0.137169551,0.448630977,22.91307205,10.40345353,10.38067947
0.181682056,0.315198403,44.7112827,72.35731065,27.04018266
0.143367379,0.425026631,43.13056093,34.02189835,28.71414487
0.123818634,0.561109623,37.32060477,9.882447334,48.11307569
0.179187192,0.214285714,42.19417816,79.207469,18.49858419
0.143003904,0.514690775,51.44945535,32.65823522,46.20032915
0.20581912,0.371506378,51.29466075,70.21265761,38.28914361
0.169505748,0.427456575,54.4163022,58.55914338,39.36304509
0.158178054,0.291925466,24.75148565,34.87797297,10.14403109
0.17916457,0.436336185,56.536963,56.82323273,50.97608986
0.148389969,0.430368007,50.32680916,40.82025266,37.77248346
0.127766457,0.560127482,43.30152053,13.86027663,55.74888345
0.188690302,0.384119543,50.63399387,64.92269875,33.15607787
0.144288577,0.529916977,55.22894917,33.2275356,56.69323943
0.125547575,0.563081253,33.45837337,8.524331716,45.84313654
0.199445983,0.420498615,53.19901458,65.83741414,42.01021294
0.135752624,0.505509904,49.67220611,26.8214193,42.90504843
0.195819582,0.262376238,37.83133333,73.37583606,19.85325539
0.179134644,0.258729357,32.2583707,63.19940314,16.81173242
0.150905046,0.405695638,32.01138872,27.17466984,21.86537721
0.206274609,0.435539185,52.16657028,60.45238114,46.05371238
0.207563104,0.409589941,47.64414392,61.95128822,36.95043564
0.168823529,0.2725,27.44742961,48.43947777,13.52716551
0.129946014,0.520629185,34.24686651,13.01479709,30.65332998
0.23416017,0.336782424,47.13973136,79.59594019,31.16651982
0.168032073,0.341729127,38.61149748,49.25277872,21.78041118
0.133306783,0.513694538,46.57240971,21.39863712,41.39563188
0.193319119,0.277896233,45.11150501,73.77959521,23.2287672
0.168037603,0.262544066,28.34469027,47.10377049,13.52569417
0.133791061,0.496656936,35.1333538,14.15016891,29.99385316
0.207815434,0.179379415,25.94239039,65.12943556,19.13758148
0.186935016,0.504264029,50.81398806,42.44124881,57.02519057
0.157892803,0.335917123,25.88054015,31.99941931,13.21193069
0.187021552,0.195824991,32.55750703,73.43471725,15.71257653
0.172328902,0.464549483,52.59313487,49.40479893,46.70423189
0.148406375,0.53560757,46.23039968,25.50820567,49.16374511
0.214198783,0.438133874,50.214522,63.42587097,42.80480373
0.164443901,0.448550104,47.89701313,44.28319436,33.78081937
0.148682854,0.42495547,36.77004563,31.39016168,23.35514411
0.190346438,0.203483846,34.64500729,76.08586751,15.80039236
0.180645161,0.427741935,52.21604732,53.23454195,40.78110767
0.155066905,0.460369514,45.52297184,36.651497,36.375823
0.135244379,0.498088226,38.35352618,17.33982031,32.34954079
0.199456029,0.269265639,41.84539703,72.40762593,21.66329086
0.172562699,0.208506257,21.67630751,50.77422094,7.740870955
0.141483175,0.439453999,29.28255123,13.52772958,22.01179192
0.201551452,0.419509851,42.6530816,55.757395,36.04579604
0.190504728,0.225977597,22.94023048,51.43463848,12.99980895
0.161370497,0.323222594,24.19764867,30.16137092,12.81867467
0.131834416,0.497938589,25.86499345,8.186059009,23.18476145
0.202259279,0.434104357,45.44704413,60.38696169,38.1973064
0.14256873,0.499788141,47.85886238,27.94978174,40.67626277
0.127640059,0.531801395,31.47763629,10.8314934,29.98013964
0.220921726,0.427944404,46.6523314,66.67700913,38.48991126
0.155335628,0.535391566,49.67522967,29.40575332,53.68434186
0.186558299,0.183619881,28.53194544,74.15177533,12.81041477
0.190336616,0.416716281,43.35297701,50.3991935,35.37964354
0.161828259,0.306321264,22.9807782,32.45104856,8.094877329
0.16738315,0.419303364,21.18089355,16.40305863,8.723565751
0.235242676,0.376803673,42.12905962,66.90706773,35.54354039
0.162312705,0.438394697,44.14248129,39.75695002,31.19302937
0.134968286,0.491253834,29.06541515,12.64906763,23.17401365
0.22685469,0.467198038,44.71277932,57.67440385,44.54253284
0.163941073,0.516657656,45.50473083,35.39458436,46.10672344
0.138466459,0.503997618,36.00439195,20.49311143,29.80213377
0.240543162,0.448472357,45.35361986,64.67122371,45.4864208
0.174783738,0.381856206,40.96852852,49.45300119,26.81908889
0.134269045,0.554965032,40.80472151,14.45113105,48.54363212
0.180570587,0.161167952,25.9180599,68.77731886,18.92952369
0.217253521,0.475352113,46.33318408,47.92499736,49.44846054
0.144452364,0.539736279,45.90244756,24.06224053,47.70491471
0.133245458,0.498252049,27.28386297,10.70714837,21.48966876
0.173731126,0.502228488,45.95365072,41.22937467,43.64127895
0.147836503,0.437549303,32.14788336,22.83365195,21.91778096
0.239822924,0.35857954,48.2147393,79.26335708,29.47341468
0.195040214,0.435824397,44.90238605,52.75404884,38.1712562
0.161235748,0.389922766,35.90855933,38.33528497,25.21009424
0.124995572,0.563914769,28.85709821,6.717968571,43.90401138
0.197479537,0.386449266,45.46492428,63.60369525,31.85757542
0.147392233,0.525951992,48.20830785,26.82453592,49.43291629
0.15872851,0.34144586,23.08770714,28.76298059,11.31459787
0.129126096,0.521569836,28.50125741,8.505827618,29.56536294
0.217205069,0.26664287,36.62726583,76.84506433,19.45098283
0.18070378,0.228303491,22.9211069,53.33260615,10.68189743
0.136033344,0.544981742,40.81255051,14.82597008,48.79478472
0.311582382,0.423327896,40.21472677,73.826895,40.15736826
0.21117297,0.506239201,44.20265697,47.70495252,52.61399725
0.164167582,0.334474647,24.52711457,33.15722566,14.25553508
0.186981507,0.182614147,30.13964678,72.64711745,12.42951297
0.178536251,0.205719241,21.79467677,53.5596598,8.001723269
0.164059083,0.327243363,28.33208013,35.21910782,17.73289197
0.129029218,0.560838831,38.06322755,10.96191649,50.80886487
0.27849279,0.411691735,46.09862117,74.89964157,39.46981041
0.179319372,0.370484293,40.17427922,50.40464006,28.67218253
0.139819992,0.528137428,43.03423072,19.87977583,43.47041588
0.1298365,0.524266056,32.14795274,10.76257121,30.62844381
