FgR,FgG,FgB,BgX,BgY,BgZ,FgL,FgA,Fg_B,BFL,BFA,BFB,BFDis,BFTime,QCHSL,QCHSA,QCHSB,QCHSCycles,QCHSDis,QCHSOffSet,QCHSTime,QCHSRatio,QCDL,QCDA,QCDB,QCDCycles,QCDDis,QCDOffSet,QCDTime,QCDRatio,SCL,SCA,SCB,SCCycles,SCDis,SCOffSet,SCTime,SCRatio
104,168,85,0.017514124,0.060236647,0.27278211,62.44426991,-46.9456003,26.02316215,15,16,38,13.68235151,15625,15,16,38,27,13.68235151,0,167,93,15,16,38,27,13.68235151,0,247,63,15,16,36,15,13.93558692,0.25323541,256,61
26,160,203,0.371058223,0.4890442,0.797740631,63.2849875,-3.283294085,-53.75792696,5,31,7,15.14216693,15476,6,31,9,14,15.50081363,0.358646708,201,76,3,28,10,27,26.086391,10.94422408,333,46,9,28,13,10,19.08550262,3.94333569,180,85
186,235,198,0.827262624,0.729349899,0.468894113,90.01465211,-30.60827584,-8.37192995,17,9,21,35.78114318,15512,17,9,21,12,35.78114318,0,164,94,17,9,22,25,35.91130822,0.130165038,216,71,17,9,21,12,35.78114318,0,204,76
46,122,28,0.192479832,0.398642409,0.724465538,45.87295943,-43.61993316,31.31664082,14,24,36,51.73915931,15209,0,20,22,7,69.03701829,17.29785898,74,205,6,32,22,23,64.69288393,12.95372461,202,75,14,22,36,15,51.81565989,0.076500571,251,60
192,103,99,0.67675063,0.990713298,0.281951486,45.73674994,29.87633364,-5.866777951,12,39,10,67.92930343,16058,12,39,10,11,67.92930343,0,139,115,16,29,16,29,83.35702757,15.42772414,263,61,13,29,13,10,79.37603887,11.44673543,178,90
154,121,156,0.867103926,0.677234037,0.035119165,54.7567785,19.09666345,-36.0231272,10,22,10,57.09066824,15026,12,18,13,12,58.3439971,1.253328864,166,90,17,19,21,29,77.67015806,20.57948982,277,54,15,21,17,6,68.95737956,11.86671133,111,135
242,141,93,0.281254357,0.926489248,0.045648117,62.36386194,24.54894106,27.94528928,12,39,10,89.01198242,15196,15,31,15,12,95.24837991,6.236397489,159,95,19,21,22,22,124.9907218,35.97873943,155,98,16,29,16,10,98.67005866,9.658076244,158,96
65,201,218,0.299401916,0.862032798,0.82736876,74.65431222,-19.22842971,-42.03552189,12,39,10,36.0401551,15054,14,34,13,11,41.49069572,5.450540613,140,107,18,24,19,25,70.70126239,34.66110729,205,73,16,29,16,10,53.76469295,17.72453785,157,95
230,45,161,0.02112515,0.659420119,0.65611167,49.80394565,72.7626767,-41.1801898,13,36,12,143.3898688,15051,15,31,15,12,151.0762846,7.68641574,152,99,19,21,22,22,185.9009865,42.5111177,153,98,16,29,16,10,154.9940804,11.60421159,155,97
123,240,193,0.823932878,0.018762096,0.803484236,91.92660876,-45.41372231,-6.515694961,18,7,34,121.6574499,15050,18,7,34,12,121.6574499,0,157,95,19,14,36,25,130.7212501,9.063800164,199,75,18,8,30,13,127.5788654,5.921415483,213,70
