Type,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CS_Fg_L,CS_Fg_a,CS_Fg_b,ComC_Fg_L,ComC_Fg_a,ComC_Fg_b,GammutFlag,CSBin_Fg_L,CSBin_Fg_a,CSBin_Fg_b,Measuredc_Fg_L,Measuredc_Fg_a,Measuredc_Fg_b
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,57.51315503,9.118575551,-33.07135736,53.06421948,4.947583216,-30.18125433,50.28145145,-8.101192879,4.994530493,0,50.28145145,-8.101192879,4.994530493,58.58353807,-2.185170707,-29.1206103
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,20.55759744,-4.918285583,20.2647206,25.2140669,-8.568889015,7.954866119,22.53697625,47.10585296,-72.78166198,0,22.53697625,47.10585296,-72.78166198,39.7316419,49.44629266,-81.77401644
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,76.3333654,8.511596108,72.98248358,59.17280724,-24.69759609,53.90398065,71.98375325,-1.448821707,22.90885272,0,71.98375325,-1.448821707,22.90885272,68.71503148,-1.446145166,-21.76272783
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,56.50099934,67.44142743,31.19315537,35.89750977,24.9284391,-7.660650017,49.02996529,66.18914478,-12.84170347,0,49.02996529,66.18914478,-12.84170347,47.39155045,45.36662283,-59.39247783
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,25.16743761,7.706901663,-27.6515539,27.69588694,11.0779192,-33.91862809,17.11683661,47.65993975,-64.93725325,0,17.11683661,47.65993975,-64.93725325,35.6549038,52.22033065,-78.72815695
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,48.25864082,-19.09851276,32.71426931,45.37285718,-20.50139645,17.97316287,38.20295603,-76.24120439,-38.56503376,1,38.20295603,-76.24120439,-38.56503376,56.06776419,8.486578391,-52.41579612
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,28.96664798,40.78652287,-61.31434759,29.42507571,48.75326804,-70.00914514,8.752959791,-27.2255845,-3.792106409,1,8.752959791,-27.2255845,-3.792106409,35.08310408,11.04401157,-41.16596217
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,42.15263258,58.21952093,25.45159609,31.43985539,30.6579942,-1.110969088,28.90804709,59.55567376,-55.67664008,0,28.90804709,59.55567376,-55.67664008,39.42847194,62.01345227,-81.37062014
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,29.4334635,27.71639111,-18.62928153,29.80019654,25.7472843,-26.67385352,7.121071607,27.95763108,-83.23269327,1,7.121071607,27.95763108,-83.23269327,37.69846607,43.23768323,-76.7306762
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,62.30359365,-19.16899632,9.695759294,58.67228915,-13.42542882,-3.124433481,56.04998379,-43.66210013,31.03910594,0,56.04998379,-43.66210013,31.03910594,63.90911044,-26.08910215,-8.768077206
