Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,43.40174,4.41829,-28.32405,54.70998,-6.44316,8.66081,38.60692,-28.33634,32.63479,0.00000,45.84386,-28.53274,4.96994,46.48527,-2.46876,-2.21633
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.78318,52.03100,-33.02452,57.87533,14.43101,-1.53088,71.60754,-0.19665,47.05225,0.00000,49.89825,3.65027,42.39090,61.16800,11.22811,8.02012
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,81.09975,-28.41209,37.70344,62.27055,-2.07844,15.47552,90.31565,-53.03954,83.45648,0.00000,55.30191,-16.39408,30.18790,63.81938,-3.45700,18.42108
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.77243,42.13123,-0.33567,56.88003,17.33037,8.63368,43.65671,-0.31342,13.69611,0.00000,48.64031,7.20643,14.87625,52.96044,-0.98527,10.90713
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,85.75913,-33.45920,-0.07759,62.86896,-14.16719,3.73203,85.44657,-78.31275,72.36579,0.00000,56.02125,-32.32730,66.67008,60.25735,-21.64636,8.37532
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,29.77675,52.07934,43.25372,29.66337,46.10265,37.98411,17.98098,47.20472,-45.49835,1.00000,11.93368,-12.14513,-86.38312,36.02277,22.49463,-29.45237
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,71.53682,18.17130,56.79822,57.84672,14.51476,30.92826,92.01105,-12.98521,90.60706,1.00000,49.86229,3.75231,-3.58736,66.75611,7.29552,44.04856
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,46.41984,68.94992,6.88802,44.40454,36.14316,10.57526,54.15386,57.90514,63.80291,0.00000,30.93419,32.83508,-38.04954,51.07108,30.96831,12.92224
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.72442,-10.34342,-47.20358,54.16467,-31.98588,-13.95154,71.58707,-51.35705,9.25794,0.00000,45.12821,-74.83340,68.68143,56.56521,-29.79638,-12.47730
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,43.40115,22.83274,9.02274,46.21761,13.48530,9.62910,48.01890,-1.03038,54.20351,0.00000,33.84421,-4.71301,-30.34170,49.68960,11.20276,9.18868
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,7.18583,31.54523,-46.43424,26.53440,-10.28992,-38.76028,23.55060,40.17219,-67.46131,1.00000,18.21629,51.55519,-44.06634,37.93202,-12.33784,-36.37124
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,52.57883,13.04594,53.53563,49.58090,13.53175,35.83748,48.01890,-1.03038,54.20351,0.00000,38.85281,-1.77366,-32.30383,50.20403,9.44007,9.87251
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,36.69906,66.27216,-31.15575,38.79465,36.46399,-9.97873,33.18769,56.79967,-71.69451,0.00000,20.21766,36.99172,-48.44539,46.29815,8.70306,-28.07720
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,10.99690,-12.58411,0.45018,27.24155,-15.26254,3.60870,20.12849,-15.80613,-5.40714,1.00000,17.06709,57.93698,-71.97535,45.23441,-19.17070,-18.75837
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,48.25916,8.81496,18.64397,48.92101,10.51458,14.26447,52.75595,-18.64687,22.97524,1.00000,37.90266,-7.21648,-23.32625,53.41693,0.35670,-3.25669
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,56.54258,67.16790,17.13417,50.12083,33.55928,12.88727,61.64397,46.10307,69.80841,0.00000,39.62019,28.31525,-17.78977,54.54309,27.40340,21.33297
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,81.00039,-19.07186,14.19618,63.15233,-2.06217,10.41575,90.19105,-62.43912,71.87356,0.00000,56.36069,-15.91811,45.37812,63.68850,-7.68410,11.26316
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,52.47861,42.80510,-0.78151,51.47347,17.65006,9.01967,38.98545,8.79431,-9.00887,0.00000,41.50644,5.61856,-9.06746,50.09702,3.98206,-9.43271
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,76.29601,3.70617,78.51729,57.97055,14.06018,48.30168,81.94003,-1.98946,82.51589,1.00000,50.01785,3.18773,-12.28845,61.64559,13.16472,22.26568
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,76.24230,-57.74275,47.08266,56.46627,-12.64052,-1.57268,38.86819,-28.59042,23.36226,0.00000,48.11303,-36.16660,32.34159,46.01534,-5.20629,-7.01325
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,61.66694,57.26651,13.42566,53.78212,25.24790,13.85762,62.00322,26.94754,63.40598,0.00000,44.62277,17.14374,-4.52465,56.12782,19.53193,16.24228
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,90.37399,-47.71986,71.92172,63.62290,-5.19968,30.22278,92.16328,-47.12573,88.69614,1.00000,56.92271,-19.79907,17.26193,64.83537,0.06667,26.57853
