Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,61.98358332,-37.96381748,18.14059906,57.39554829,-43.32946481,11.44063503,55.67157046,-72.2429136,17.20909217,1,55.67157046,-72.2429136,17.20909217,58.11290755,-24.54904626,-15.86481153,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,81.10983458,4.053619673,66.88525686,74.94146449,-7.815749343,69.60908286,77.20500173,-5.449629221,39.95233419,0,77.20500173,-5.449629221,39.95233419,71.9401447,-2.268231944,2.832151669,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,61.99874254,-43.04018484,47.299305,56.70820153,-50.40579339,42.22416439,55.68951637,-80.41367073,-4.744338664,1,55.68951637,-80.41367073,-4.744338664,56.73279835,-5.989995653,-42.39565856,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,47.87839533,32.34288189,31.95535434,35.83949126,25.70931595,19.36958729,37.66640016,20.01664153,-39.45393528,0,37.66640016,20.01664153,-39.45393528,63.92540346,1.370221446,-43.20970906,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.32202776,47.45229559,-42.9152876,30.20585547,51.88462082,-62.77747983,21.84634002,45.49180308,4.03268912,0,21.84634002,45.49180308,4.03268912,55.43103631,6.778236256,-35.03697277,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,20.46665657,13.43838948,8.694278962,11.02847221,4.589127901,-8.282643535,22.6184395,35.87325869,-71.23719715,0,22.6184395,35.87325869,-71.23719715,58.59289024,-10.07118022,-39.49250573,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.52209865,-37.75886705,32.7418041,68.64247039,-52.64437038,27.15190257,66.63812468,-60.41456646,38.40685667,0,66.63812468,-60.41456646,38.40685667,66.42047532,-39.44304125,-1.943856104,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.69706606,-29.52828765,-14.48143266,63.24772368,-19.3071661,-31.85174103,61.16421846,-53.71710928,29.88753372,0,61.16421846,-53.71710928,29.88753372,58.00856312,-28.81198901,-11.53671579,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,80.87299974,-24.77055038,-28.58457025,81.11814059,-7.811004862,-32.55493002,76.94782432,-38.86391007,-7.340489169,0,76.94782432,-38.86391007,-7.340489169,72.29528629,-9.760302132,-47.49083462,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.62622383,-37.54121966,-14.34146402,69.40181375,-23.91054678,-33.74519489,66.75489527,-60.04078797,22.17990648,0,66.75489527,-60.04078797,22.17990648,70.09878564,-18.30617408,-28.52987622,,,,,,,
