BinL,BinA,BinB,MeasuredL,MeasuredA,MeasuredB,MeasuredX,MeasuredY,MeasuredZ,R,G,B,OldR,OldG,OldB,Empty
15,0,-25,15.32901432,4.819679737,-27.47456268,0.0208,0.0197,0.07365,0,27,56,0,44,74,
15,-5,-20,17.24974302,0.886862779,-21.51454286,0.0228,0.02355,0.0667,0,29,50,0,45,68,
20,25,-55,21.9443692,37.23751723,-61.42132596,0.06155,0.035,0.27775,0,30,118,0,45,130,
15,-10,-10,17.59903058,-2.217540787,-13.45159256,0.02205,0.0243,0.0495,0,30,36,0,46,55,
25,40,-70,25.84753245,57.23445835,-83.97556287,0.102,0.04695,0.51795,0,27,153,0,46,167,
15,-15,-5,16.45433346,-4.187530751,-11.72805916,0.019,0.0219,0.0422,0,31,30,0,47,48,
15,-10,-15,15.53963587,-2.792155868,-16.49394793,0.01795,0.0201,0.04845,0,33,46,0,47,61,
20,20,-50,21.03749907,29.80710513,-56.01781816,0.0517,0.03255,0.23445,0,32,109,0,47,122,
30,55,-90,34.14894212,78.08710613,-109.9263525,0.1937,0.0808,1.0309,0,32,210,0,47,216,
15,-20,5,15.92713944,-5.083495568,-7.872021375,0.0177,0.02085,0.0339,0,32,17,0,48,36,
15,-20,0,16.15519816,-6.945902307,-5.859908897,0.01735,0.0213,0.03135,0,37,28,0,48,42,
15,-15,-10,17.27325769,-8.075430577,-11.80673914,0.01885,0.0236,0.04505,0,39,44,0,48,55,
15,-25,15,17.69095725,-14.84258933,0.754186585,0.01685,0.0245,0.02565,0,33,3,0,49,22,
15,-25,10,15.92713944,-13.46446402,-1.608309897,0.01455,0.02085,0.02475,0,39,15,0,49,29,
20,15,-45,20.65425896,23.29475507,-50.18945771,0.0453,0.03155,0.1984,0,34,101,0,49,115,
25,35,-65,26.06918665,49.32169859,-78.07538228,0.0933,0.0477,0.46495,0,31,145,0,49,159,
35,65,-100,39.6225449,92.47250455,-104.0990605,0.2788,0.11025,1.0888,0,27,237,0,49,249,
15,-30,25,15.38193506,-6.192462617,-13.81675406,0.01635,0.0198,0.04265,0,43,0,0,50,0,
20,10,-40,20.20338542,18.5227037,-45.06413227,0.04045,0.0304,0.169,0,35,92,0,51,107,
25,35,-70,25.90686969,54.42775184,-83.94857883,0.09875,0.04715,0.5187,0,40,163,0,51,167,
30,50,-85,33.7001346,70.25757076,-103.7139347,0.17505,0.07865,0.92475,0,34,197,0,51,207,
25,30,-60,24.12897833,48.73009884,-76.01360101,0.08285,0.0414,0.41665,0,34,138,0,52,151,
20,5,-35,19.7613465,19.77826695,-41.10645624,0.04,0.0293,0.1477,0,37,84,0,53,100,
25,30,-65,26.31760372,48.45676662,-77.24650628,0.09355,0.04855,0.46125,0,42,153,0,53,159,
20,0,-30,19.32895622,11.33231243,-34.89826424,0.0333,0.02825,0.1197,0,39,77,0,54,93,
35,60,-95,38.45463118,86.79802298,-106.1127049,0.2527,0.10345,1.0888,0,33,229,0,54,240,
20,-5,-20,17.6220594,6.408388155,-31.95015762,0.02635,0.02435,0.09895,0,39,60,0,55,78,
20,-5,-25,19.11928389,7.080128869,-29.61041499,0.03025,0.02775,0.09975,0,44,74,0,55,85,
25,25,-55,24.85875554,37.67963611,-66.78039958,0.0743,0.0437,0.3517,0,37,130,0,55,143,
30,45,-80,32.15719713,66.51105376,-98.13931554,0.15655,0.07155,0.8093,0,36,185,0,55,198,
20,-10,-15,18.07615961,-0.802279865,-21.74877809,0.0237,0.02535,0.071,0,40,53,0,56,72,
25,25,-60,25.74328549,42.52747702,-71.36523019,0.0837,0.0466,0.4008,0,45,145,0,56,151,
35,60,-100,40.95266837,88.8900433,-101.8057442,0.28425,0.11835,1.0888,0,45,250,0,56,249,
20,-10,-20,20.45959645,3.030100322,-20.95878327,0.03125,0.03105,0.08015,0,48,69,0,57,78,
20,-15,-10,20.49869524,-8.126714743,-9.703894005,0.02525,0.03115,0.05215,0,41,46,0,58,65,
25,20,-55,26.60617454,36.11795535,-63.06165757,0.0807,0.04955,0.3463,0,45,133,0,58,143,
30,40,-75,32.41383208,59.40955885,-91.57896869,0.1465,0.0727,0.73005,0,39,175,0,58,190,
35,55,-90,38.25209753,79.55842141,-106.4619008,0.23405,0.1023,1.0888,0,39,220,0,58,231,
20,-25,10,20.10387039,-8.118166674,-5.301832505,0.0244,0.03015,0.04195,0,43,18,0,59,38,
20,-20,0,21.09430513,-8.4625302,-2.861660019,0.0264,0.0327,0.0406,0,42,32,0,59,51,
20,-20,-5,19.59786378,-8.187832408,-8.58321238,0.0233,0.0289,0.0466,0,48,45,0,59,58,
20,-30,25,20.18352618,-14.11616419,8.035612268,0.0217,0.03035,0.02185,0,44,0,0,60,14,
20,-30,20,19.74099286,-12.20869298,9.975090409,0.0217,0.02925,0.01875,0,46,8,0,60,24,
20,-30,15,20.08390143,-9.251173816,8.748766928,0.0238,0.0301,0.0208,0,52,18,0,60,31,
20,-25,5,20.00380371,-6.785588448,-1.242882686,0.02485,0.0299,0.03455,0,47,29,0,60,45,
25,15,-50,25.86238253,31.41787951,-57.90144307,0.0723,0.047,0.29955,0,48,126,0,60,135,
