L,A,B,MLA,MA,MlaB,MX,My,MZ,r,g,b
33.66628758,50.93929646,-85.14650974,34.14894212,78.08710613,-109.9263525,0.1937,0.0808,1.0309,0,47,216
20.09558266,-20.76964085,3.063080432,15.92713944,-5.083495568,-7.872021375,0.0177,0.02085,0.0339,0,48,36
20.29593094,-18.65712951,-0.914528019,16.15519816,-6.945902307,-5.859908897,0.01735,0.0213,0.03135,0,48,42
20.81473721,-13.59472642,-9.266597317,17.27325769,-8.075430577,-11.80673914,0.01885,0.0236,0.04505,0,48,55
20.13478953,-25.38877954,13.01728797,17.69095725,-14.84258933,0.754186585,0.01685,0.0245,0.02565,0,49,22
20.29891531,-23.48065777,8.325964966,15.92713944,-13.46446402,-1.608309897,0.01455,0.02085,0.02475,0,49,29
24.85702122,11.8818309,-42.02267545,20.65425896,23.29475507,-50.18945771,0.0453,0.03155,0.1984,0,49,115
28.56271778,29.76413692,-62.07403315,26.06918665,49.32169859,-78.07538228,0.0933,0.0477,0.46495,0,49,159
37.48884427,59.93845579,-96.11356044,39.6225449,92.47250455,-104.0990605,0.2788,0.11025,1.0888,0,49,249
20.20200106,-30.07349822,27.58453633,15.38193506,-6.192462617,-13.81675406,0.01635,0.0198,0.04265,0,50,0
24.92122584,6.947575708,-36.96517794,20.20338542,18.5227037,-45.06413227,0.04045,0.0304,0.169,0,51,107
29.82278402,31.3997354,-64.5634233,25.90686969,54.42775184,-83.94857883,0.09875,0.04715,0.5187,0,51,167
33.6242899,45.5763302,-80.38777653,33.7001346,70.25757076,-103.7139347,0.17505,0.07865,0.92475,0,51,207
28.68278408,24.53556145,-57.26501978,24.12897833,48.73009884,-76.01360101,0.08285,0.0414,0.41665,0,52,151
25.1185251,2.45128535,-32.26036294,19.7613465,19.77826695,-41.10645624,0.04,0.0293,0.1477,0,53,100
29.65113495,26.95255888,-60.28744182,26.31760372,48.45676662,-77.24650628,0.09355,0.04855,0.46125,0,53,159
25.0236957,-1.302876429,-27.97133936,19.32895622,11.33231243,-34.89826424,0.0333,0.02825,0.1197,0,54,93
37.54435637,54.4211899,-91.361335,38.45463118,86.79802298,-106.1127049,0.2527,0.10345,1.0888,0,54,240
24.53815248,-8.432551207,-19.03106453,17.6220594,6.408388155,-31.95015762,0.02635,0.02435,0.09895,0,55,78
24.9123062,-5.44687572,-23.00568458,19.11928389,7.080128869,-29.61041499,0.03025,0.02775,0.09975,0,55,85
28.88760307,19.18505938,-52.26891587,24.85875554,37.67963611,-66.78039958,0.0743,0.0437,0.3517,0,55,143
33.69186319,39.94884652,-75.40134365,32.15719713,66.51105376,-98.13931554,0.15655,0.07155,0.8093,0,55,198
24.60568278,-11.58145975,-14.9708992,18.07615961,-0.802279865,-21.74877809,0.0237,0.02535,0.071,0,56,72
29.82429276,21.68454874,-55.39850645,25.74328549,42.52747702,-71.36523019,0.0837,0.0466,0.4008,0,56,151
38.84639426,56.062252,-93.8610226,40.95266837,88.8900433,-101.8057442,0.28425,0.11835,1.0888,0,56,249
25.26160819,-9.727316602,-17.90363733,20.45959645,3.030100322,-20.95878327,0.03125,0.03105,0.08015,0,57,78
25.03200887,-15.61264014,-9.659109517,20.49869524,-8.126714743,-9.703894005,0.02525,0.03115,0.05215,0,58,65
29.77849909,17.03707875,-50.81827305,26.60617454,36.11795535,-63.06165757,0.0807,0.04955,0.3463,0,58,143
33.70256877,35.12217994,-71.01008788,32.41383208,59.40955885,-91.57896869,0.1465,0.0727,0.73005,0,58,190
37.50780251,49.19204072,-86.72227132,38.25209753,79.55842141,-106.4619008,0.23405,0.1023,1.0888,0,58,231
24.49397994,-25.53249596,7.871606868,20.10387039,-8.118166674,-5.301832505,0.0244,0.03015,0.04195,0,59,38
24.88084759,-21.35615528,-0.44121256,21.09430513,-8.4625302,-2.861660019,0.0264,0.0327,0.0406,0,59,51
25.12859638,-18.84791542,-4.814253862,19.59786378,-8.187832408,-8.58321238,0.0233,0.0289,0.0466,0,59,58
24.42665933,-31.40898246,23.37422036,20.18352618,-14.11616419,8.035612268,0.0217,0.03035,0.02185,0,60,14
24.57786545,-29.544521,17.36004067,19.74099286,-12.20869298,9.975090409,0.0217,0.02925,0.01875,0,60,24
24.71611199,-27.89803514,12.91203345,20.08390143,-9.251173816,8.748766928,0.0238,0.0301,0.0208,0,60,31
25.07426493,-23.86366444,3.919872719,20.00380371,-6.785588448,-1.242882686,0.02485,0.0299,0.03455,0,60,45
29.79012147,12.33049184,-46.09290585,25.86238253,31.41787951,-57.90144307,0.0723,0.047,0.29955,0,60,135
38.80273618,50.89720278,-89.27755657,40.58131511,82.80647298,-102.4460084,0.2651,0.11605,1.0888,0,60,240
29.54154155,8.296546805,-41.73352261,25.87722209,26.6599118,-53.4030894,0.0676,0.04705,0.2697,0,61,127
33.70007825,29.78134326,-66.04645317,31.33559163,55.55555421,-86.11432789,0.133,0.06795,0.6422,0,61,181
28.89347908,1.292500053,-33.68727182,23.67144196,20.388449,-44.54756061,0.0533,0.04,0.1961,0,62,112
29.65806678,3.548687527,-36.72947226,24.796328,22.13248784,-46.59356017,0.059,0.0435,0.2176,0,63,119
33.5810507,25.37755658,-61.78159534,31.14909143,49.47744617,-79.91761596,0.1227,0.06715,0.5702,0,63,173
38.62319111,46.12771456,-84.87900719,38.65566936,77.99732548,-105.7660873,0.23445,0.1046,1.0888,0,63,231
29.09373852,-3.421442464,-28.43667908,25.5633553,10.5430857,-36.85172157,0.0519,0.046,0.1739,0,64,104
29.88894633,-0.747151464,-32.10118973,25.63851524,18.3904548,-40.06073446,0.0589,0.04625,0.19045,0,65,112
33.43529619,20.50111422,-56.95032722,29.13323057,47.26822318,-75.59076779,0.1075,0.0589,0.49135,0,65,164
29.40035758,-7.626726756,-23.59163086,24.08045473,10.11350983,-31.07911978,0.0465,0.04125,0.13685,0,66,97
29.77159189,-4.739950453,-27.36523587,25.16806902,10.95892404,-34.94481832,0.05085,0.0447,0.16175,0,66,104
34.41426709,23.31149292,-60.42032589,32.05602625,45.25893404,-78.0754426,0.12225,0.0711,0.56725,0,66,173
38.51120334,41.19352483,-80.32732186,37.76154537,72.66819439,-107.2586848,0.21445,0.09955,1.088,0,66,222
27.07512153,-35.10217447,31.27876333,22.86159346,-15.13014804,3.745488717,0.0269,0.0376,0.03445,0,67,8
29.40051857,-11.09864436,-19.18584877,24.49715466,0.517135632,-22.3997548,0.0408,0.04255,0.10675,0,67,90
29.3892351,-14.86376836,-14.11363218,24.38581079,-4.007808053,-16.70994436,0.0374,0.0422,0.0876,0,68,82
33.71607136,15.25533145,-51.94129551,30.04690314,37.29473033,-67.53794051,0.09965,0.06255,0.4317,0,68,156
29.19240525,-20.6590848,-5.371172067,23.91785475,-8.365575522,-10.40985708,0.03335,0.04075,0.0677,0,69,68
34.58816656,17.73762033,-55.0744397,30.02235133,42.75910107,-73.81806192,0.1066,0.06245,0.48905,0,69,164
38.46758155,36.10919679,-75.62039322,36.83664811,67.96334526,-102.4772146,0.1966,0.0945,0.9872,0,69,213
29.10341516,-25.86856434,3.668947745,24.2095912,-11.02575037,-5.205545901,0.0325,0.04165,0.05635,0,70,54
29.31796312,-23.60209595,-0.613601913,24.796328,-12.64441435,-3.638692383,0.03305,0.0435,0.0551,0,70,61
29.81593434,-18.65988653,-8.969001301,24.54468658,-9.849429683,-11.40064521,0.0341,0.0427,0.07315,0,70,75
33.75970893,10.6668629,-47.27340452,29.67584025,31.52900133,-61.39729333,0.0906,0.06105,0.37465,0,70,148
42.37696357,49.72820495,-91.09836814,44.10358344,87.21175112,-96.373132,0.3157,0.1391,1.0888,0,70,255
29.11971982,-30.30425613,12.86319637,24.43360469,-8.968598198,1.002439818,0.03435,0.04235,0.04415,0,71,40
29.28498681,-28.41885722,8.521254967,23.77037365,-15.54104741,1.972408851,0.0288,0.0403,0.0402,0,71,47
34.60748531,13.19263617,-50.49717608,30.65237482,35.9010925,-66.93515325,0.1012,0.06505,0.4356,0,71,156
28.95737849,-37.34671019,36.04853424,22.99891472,-15.43934674,11.39719406,0.02705,0.038,0.0237,0,72,0
29.09549928,-35.56783699,27.97114434,22.15996683,-15.88059607,10.78789537,0.02495,0.0356,0.02265,0,72,15
29.2215577,-33.99240171,22.44656473,22.86159346,-15.31920124,7.793876936,0.0268,0.0376,0.02825,0,72,25
29.35437592,-32.37892717,17.66444668,23.06721418,-18.21955963,8.393932662,0.02575,0.0382,0.0279,0,72,33
33.85249974,6.067025705,-42.48014496,27.92629755,28.91966391,-59.00149233,0.07905,0.0543,0.3329,0,72,140
34.36918162,9.302371898,-46.29024143,29.31132296,33.31009156,-63.05931754,0.09085,0.0596,0.383,0,72,148
34.83788246,12.11054666,-49.55327366,30.16927125,36.45139072,-67.79627802,0.09925,0.06305,0.43585,0,72,155
38.49261085,30.89328815,-70.75710507,36.35705784,61.30231482,-96.17175726,0.1797,0.09195,0.88205,0,72,204
33.67521862,2.145429678,-38.07151165,28.73380051,23.53581528,-54.24062277,0.077,0.05735,0.30855,0,73,132
