BinNo,Dsno,Distance,l,a,b,lx,ax,bx
164,11684,2.7737217563081,28.95737849,-37.34671019,36.04853424,30,-35,35,
165,11683,2.29277467030819,29.09549928,-35.56783699,27.97114434,30,-35,30,
166,11681,2.75806194754943,29.2215577,-33.99240171,22.44656473,30,-35,20,
167,11726,3.39572293383943,29.35437592,-32.37892717,17.66444668,30,-30,20,
168,13874,2.93367000946668,33.85249974,6.067025705,-42.48014496,35,5,-40,
169,13918,1.59666519500313,34.36918162,9.302371898,-46.29024143,35,10,-45,
170,13917,2.16338940638587,34.83788246,12.11054666,-49.55327366,35,10,-50,
171,15938,1.90876762742033,38.49261085,30.89328815,-70.75710507,40,30,-70,
172,13829,3.17442617241662,33.67521862,2.145429678,-38.07151165,35,0,-40,
173,13874,1.59256871685145,34.47671553,4.723872632,-41.47858113,35,5,-40,
174,16070,2.88969594888098,42.49118107,44.31062203,-86.29194333,40,45,-85,
175,13830,3.31143120493258,33.85734877,-2.411658974,-33.03943228,35,0,-35,
176,15894,1.69295522575942,38.58604346,25.56840318,-65.73738872,40,25,-65,
177,17914,2.38061304133904,43.49969461,46.6874836,-89.24581084,45,45,-90,
178,13786,2.98174526042461,34.08612982,-6.895969554,-27.88790494,35,-5,-30,
179,15850,2.386193699412,38.53994232,21.21114132,-61.44751119,40,20,-60,
180,16026,3.0523918776941,42.44422117,39.36394302,-81.7141501,40,40,-80,
181,13742,1.63897812690575,34.07215977,-10.28060871,-23.67840227,35,-10,-25,
182,13786,0.623696119875099,34.67353792,-5.529847042,-29.95899424,35,-5,-30,
183,17870,2.41157967082354,43.43238546,41.81437869,-84.74245169,45,40,-85,
184,13699,2.0595740881295,33.74079317,-16.62977411,-14.99105941,35,-15,-15,
185,15806,2.63797131584174,38.46710368,16.42078087,-56.60950404,40,15,-55,
186,13698,1.84479633450274,34.38067295,-14.55965324,-18.31898773,35,-15,-20,
187,13655,1.23181394105563,34.11708961,-20.65521532,-9.44454729,35,-20,-10,
188,13654,2.55055700995424,34.42792955,-17.75207314,-13.93938636,35,-20,-15,
189,15762,3.24570783453422,38.50930977,11.98184848,-52.09397674,40,10,-50,
190,17826,2.41023533206912,43.42410247,36.8206558,-80.10485127,45,35,-80,
191,13612,1.61720693036525,33.98772664,-25.93728609,-0.843893172,35,-25,0,
192,13611,1.59406746074944,34.21642549,-23.61445976,-4.914324449,35,-25,-5,
193,13569,2.02393995697349,33.92280205,-30.92535303,8.557883744,35,-30,10,
194,13568,1.54048824968956,34.1069717,-28.9039816,4.388160013,35,-30,5,
195,15718,3.28026196757612,38.53174588,7.139345963,-47.006875,40,5,-45,
196,13526,2.25782441557012,33.95690123,-35.10177869,18.00016072,35,-35,20,
197,13525,2.66452629207488,34.11911352,-33.20464016,13.23919836,35,-35,15,
198,13611,1.18899602387048,34.91641404,-24.62470824,-3.874886216,35,-25,-5,
199,17782,2.10518427917755,43.39847835,31.36476695,-74.93411809,45,30,-75,
200,13485,1.82057890692684,33.84509602,-41.4070041,39.96769186,35,-40,40,
201,13484,1.48142031855021,33.94123467,-40.1614685,33.97650107,35,-40,35,
202,13483,2.4951090534326,34.06034009,-38.65246747,28.12203181,35,-40,30,
203,15719,3.49693856241559,38.66106657,2.698248796,-42.26666671,40,5,-40,
204,17738,2.88634846599528,43.3200996,27.18509159,-70.8569229,45,25,-70,
205,15675,3.18679911306624,38.8311033,-1.709779144,-37.42198769,40,0,-35,
206,15630,2.4343630301535,38.72346325,-5.44925896,-32.9764527,40,-5,-35,
207,13485,2.39335643517747,35.33543013,-42.34455146,39.65544216,35,-40,40,
208,15587,2.87673341134713,38.27015703,-12.19558684,-24.31982587,40,-10,-25,
209,17694,2.59657931314689,43.4795273,21.9350321,-65.82827391,45,20,-65,
210,15586,2.32375927317831,38.96736327,-9.74017468,-27.934568,40,-10,-30,
211,15543,2.1460769557794,38.57729072,-16.32723197,-19.09446154,40,-15,-20,
212,15542,2.59707275998943,38.92297352,-13.35425496,-23.30402708,40,-15,-25,
213,17650,2.99680076558667,43.41741135,17.28567502,-61.11889128,45,15,-60,
214,15499,1.59673876129868,38.58704261,-19.77480967,-14.29118733,40,-20,-15,
215,17826,2.73010559285099,47.3164729,35.08028607,-81.44256161,45,35,-80,
216,15456,1.75515345841222,38.38478656,-25.45577949,-5.513725863,40,-25,-5,
217,17651,3.15983527195846,43.39801503,12.60502117,-56.29702718,45,15,-55,
218,15413,2.37153871183537,38.27150376,-30.64040228,3.507893593,40,-30,5,
219,15455,2.07401216054264,38.9980411,-23.26929631,-9.450209547,40,-25,-10,
220,15370,2.91668675368355,38.2456562,-35.19773417,12.67831082,40,-35,15,
221,15412,1.56225259810453,38.81634214,-28.98042431,0.007256935,40,-30,0,
222,17607,2.95171435715656,43.42121429,7.911070221,-51.36250714,45,10,-50,
223,17782,2.68550214308928,47.33528347,29.67983241,-76.28680441,45,30,-75,
224,15327,2.67850412805419,38.16602281,-40.69541452,26.82409174,40,-40,25,
225,15369,1.95698237210654,38.75671615,-33.78221458,9.10500059,40,-35,10,
226,19671,2.96385023235121,48.31636105,32.56847176,-79.80650968,50,35,-80,
227,15286,2.36097981022458,38.20651075,-45.03009107,43.46483991,40,-45,45,
228,15327,2.61253549392213,38.64049478,-39.57757924,22.80941835,40,-40,25,
229,15326,2.99787836979845,38.78162184,-37.8949734,18.24737557,40,-40,20,
230,17563,2.68790474017222,43.5432784,3.604735032,-46.77652181,45,5,-45,
231,15285,1.83065787921477,38.60238047,-44.82831217,41.16982529,40,-45,40,
232,15284,2.86770618626463,38.74392935,-43.01407136,33.35618957,40,-45,35,
233,17738,2.88178675799936,47.48191705,24.56287111,-71.39774855,45,25,-70,
234,17519,2.36633450923695,43.64711561,-1.055411156,-41.62952451,45,0,-40,
235,19582,2.73163540443963,48.36745235,27.15385753,-74.60311476,50,25,-75,
236,17430,3.33260117778413,43.13888937,-7.704696816,-33.45919465,45,-10,-35,
237,17475,2.77736514296778,43.53554256,-4.69103055,-37.33958531,45,-5,-35,
238,17694,3.02499648508503,47.40967236,20.03297319,-66.82838607,45,20,-65,
239,17431,2.51063095132512,43.07442621,-11.27405341,-29.01398719,45,-10,-30,
240,19583,2.90276482032561,48.2763198,22.66681041,-70.10581355,50,25,-70,
241,17431,2.99290050437944,43.76006164,-8.877777249,-32.48206011,45,-10,-30,
242,17387,2.37361743733513,43.31143059,-15.70169789,-23.4865889,45,-15,-25,
243,19539,2.62210134662564,48.2225014,18.14118546,-65.51061013,50,20,-65,
244,17343,2.22204112485749,43.30440159,-19.10769805,-18.87474002,45,-20,-20,
245,17606,3.48658796065135,47.37973603,10.88899774,-57.38806094,45,10,-55,
246,17300,1.96754959784602,43.03741761,-25.11978732,-9.928077956,45,-25,-10,
247,19495,2.42375511575136,48.20602774,13.5897819,-60.81702956,50,15,-60,
248,17299,2.79429802045822,43.64731938,-22.93179817,-13.69581529,45,-25,-15,
249,17561,3.62139973459386,47.47897,6.676700556,-52.9609024,45,5,-55,
250,17257,2.12315342402691,43.22039121,-30.85439593,-0.781524543,45,-30,0,
251,17256,2.0807019437164,43.43270665,-28.68616466,-4.616921897,45,-30,-5,
252,19451,2.26756202697349,48.22679253,9.026842936,-56.02495763,50,10,-55,
253,15286,4.04795277476114,42.1548024,-47.48173549,42.63700672,40,-45,45,
254,17214,2.49131114758306,43.12708179,-35.87273507,8.608187473,45,-35,10,
255,17213,2.30978530299739,43.3305204,-33.65845439,4.135013649,45,-35,5,
256,19362,3.79651626861517,47.55563932,2.106301289,-47.99946719,50,0,-50,
257,17171,2.70513097158413,43.11784253,-40.22352391,18.06990832,45,-40,20,
258,17170,2.78392131292561,43.28148042,-38.33695469,13.57480225,45,-40,15,
259,19407,2.12444809843453,48.28455327,4.468010289,-51.13468462,50,5,-50,
260,17086,3.0353387943299,42.79833527,-48.75284756,46.67647392,45,-50,45,
261,17129,3.12332083979233,43.0588586,-45.42463141,32.59027153,45,-45,35,
262,17127,3.1931445340026,43.18971709,-43.80839732,27.34502257,45,-45,25,
263,17172,3.495614763751,43.31471029,-42.29704301,22.97448412,45,-40,25,
264,19363,3.9495790118107,47.66945142,-2.433208947,-42.93912351,50,0,-45,
265,17086,3.17495761060211,43.13899127,-49.1275702,47.4198902,45,-50,45,
266,19363,2.26223177780285,48.43159,0.299807615,-46.60246625,50,0,-45,
267,19319,3.65658209854749,47.81981389,-6.922428501,-37.78152083,50,-5,-40,
268,19538,2.88759531996954,52.17028822,21.18517147,-71.49111514,50,20,-70,
269,19275,2.95167028817137,48.05118743,-10.97941847,-33.01122487,50,-10,-35,
270,17127,1.3449830709531,44.98340137,-44.45134598,26.22787732,45,-45,25,
271,19231,2.48252582695031,48.0042194,-14.41076562,-28.64626549,50,-15,-30,
272,19494,3.05492813397118,52.40710715,16.12800144,-66.50533512,50,15,-65,
273,19188,2.56018797580425,47.62508,-20.90407763,-19.68861422,50,-20,-20,
274,21383,2.19085763634629,53.22816662,18.73089652,-69.77675123,55,20,-70,
275,19187,2.82283837616756,48.25013975,-18.66268908,-23.23421261,50,-20,-25,
276,19450,3.47493195610106,52.41355371,11.67145511,-61.85907192,50,10,-60,
277,19144,2.10496986445909,47.96103778,-24.62472521,-14.63571985,50,-25,-15,
278,21339,1.92619837003906,53.21649227,14.29995377,-65.19818076,55,15,-65,
279,19101,2.36542597843976,47.71756628,-30.56208965,-5.264180996,50,-30,-5,
280,19100,2.86267847195643,47.97178038,-28.04758655,-9.481025119,50,-30,-10,
281,19406,3.9278142916734,52.45326941,7.21250145,-57.12462506,50,5,-55,
282,19057,2.74898335784456,47.80416242,-33.42950708,-0.518419533,50,-35,0,
283,19015,3.20207860793265,47.52907826,-40.36278522,12.9959441,50,-40,15,
284,21252,4.052026919719,52.52599553,2.764592102,-52.30242819,55,5,-50,
285,19014,2.50929254988849,48.03958121,-38.73166639,9.080958585,50,-40,10,
286,17086,3.32111816998461,47.37686958,-50.90402127,42.86386741,45,-50,45,
287,18972,3.19457250784307,47.87801793,-44.72974354,22.62735442,50,-45,25,
288,18971,3.29120675701298,48.02457287,-43.01123318,18.27531565,50,-45,20,
289,21208,3.75323143362698,52.63137395,-1.657873402,-47.3932849,55,0,-45,
290,18929,3.31936187585973,47.82718684,-49.76046553,37.49793304,50,-50,35,
291,18929,3.59991315052113,47.94171823,-48.33173355,32.56284225,50,-50,35,
292,18973,3.39641782902822,48.0656325,-46.81436501,27.87821866,50,-45,30,
